"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min","to be removed"
ALTURAS.A,20150101,2359,0.00,,36,7,,,0,0,,,35,34,,217,0.03,90.0,33.0,
ALTURAS.A,20150102,2359,0.00,,43,11,,,0,0,,,35,34,,215,0.03,91.0,37.0,
ALTURAS.A,20150103,2359,0.00,,51,16,,,0,0,,,34,34,,212,0.04,93.0,43.0,
ALTURAS.A,20150104,2359,0.00,,50,25,,,0,0,,,34,34,,134,0.03,93.0,51.0,
ALTURAS.A,20150105,2359,0.00,,57,26,,,0,0,,,34,34,,159,0.03,93.0,34.0,
ALTURAS.A,20150106,2359,0.00,,63,24,,,0,0,,,34,34,,218,0.05,94.0,32.0,
ALTURAS.A,20150107,2359,0.00,,61,25,,,0,0,,,34,34,,224,0.05,91.0,43.0,
ALTURAS.A,20150108,2359,0.00,,59,21,,,0,0,,,34,34,,217,0.04,96.0,44.0,
ALTURAS.A,20150109,2359,0.00,,48,25,,,0,0,,,35,34,,144,0.02,96.0,61.0,
ALTURAS.A,20150110,2359,0.00,,49,30,,,0,0,,,35,34,,113,0.02,95.0,67.0,
ALTURAS.A,20150111,2359,0.02,,50,23,,,0,0,,,36,35,,162,0.03,97.0,51.0,
ALTURAS.A,20150112,2359,0.07,,42,30,,,0,0,,,37,36,,82,0.01,97.0,83.0,
ALTURAS.A,20150113,2359,0.00,,43,22,,,0,0,,,38,36,,224,0.04,98.0,55.0,
ALTURAS.A,20150114,2359,0.00,,49,20,,,0,0,,,37,36,,214,0.05,93.0,45.0,
ALTURAS.A,20150115,2359,0.00,,46,26,,,0,0,,,36,36,,66,0.03,90.0,40.0,
ALTURAS.A,20150116,2359,0.01,,46,31,,,0,0,,,38,36,,54,0.02,96.0,49.0,
ALTURAS.A,20150117,2359,0.01,,53,31,,,0,0,,,40,37,,88,0.03,95.0,71.0,
ALTURAS.A,20150118,2359,0.09,,51,34,,,0,0,,,42,40,,78,0.03,93.0,69.0,
ALTURAS.A,20150119,2359,0.00,,47,25,,,0,0,,,41,39,,227,0.04,97.0,37.0,
ALTURAS.A,20150120,2359,0.00,,48,20,,,0,0,,,40,38,,244,0.05,95.0,43.0,
ALTURAS.A,20150121,2359,0.00,,49,18,,,0,0,,,38,37,,253,0.05,93.0,34.0,
ALTURAS.A,20150122,2359,0.00,,45,24,,,0,0,,,37,36,,139,0.03,88.0,38.0,
ALTURAS.A,20150123,2359,0.00,,53,21,,,0,0,,,37,36,,258,0.05,93.0,40.0,
ALTURAS.A,20150124,2359,0.00,,62,24,,,0,0,,,38,36,,258,0.05,95.0,36.0,
ALTURAS.A,20150125,2359,0.00,,65,24,,,0,0,,,39,36,,239,0.06,96.0,36.0,
ALTURAS.A,20150126,2359,0.00,,66,29,,,0,0,,,40,37,,248,0.07,90.0,30.0,
ALTURAS.A,20150127,2359,0.00,,49,29,,,0,0,,,40,38,,117,0.03,92.0,57.0,
ALTURAS.A,20150128,2359,0.00,,59,28,,,0,0,,,40,38,,277,0.06,97.0,31.0,
ALTURAS.A,20150129,2359,0.00,,56,22,,,0,0,,,40,38,,270,0.06,96.0,35.0,
ALTURAS.A,20150130,2359,0.00,,51,21,,,0,0,,,39,38,,281,0.07,95.0,40.0,
ALTURAS.A,20150131,2359,0.00,,53,16,,,0,0,,,39,37,,285,0.05,94.0,39.0,
ALTURAS.A,20150201,2359,0.02,,58,19,,,0,0,,,38,36,,201,0.05,91.0,29.0,
ALTURAS.A,20150202,2359,0.24,,52,34,,,0,0,,,40,38,,89,0.02,96.0,77.0,
ALTURAS.A,20150203,2359,0.02,,53,33,,,0,0,,,41,39,,96,0.02,95.0,68.0,
ALTURAS.A,20150204,2359,0.00,,57,28,,,0,0,,,41,39,,128,0.08,97.0,31.0,
ALTURAS.A,20150205,2359,0.00,,62,44,,,0,0,,,42,40,,256,0.20,46.0,21.0,
ALTURAS.A,20150206,2359,0.26,,55,40,,,0,0,,,42,41,,91,0.12,85.0,25.0,
ALTURAS.A,20150207,2359,0.03,,57,40,,,0,0,,,43,41,,316,0.10,83.0,36.0,
ALTURAS.A,20150208,2359,0.11,,55,37,,,0,0,,,43,41,,110,0.05,85.0,54.0,
ALTURAS.A,20150209,2359,0.06,,48,32,,,0,0,,,43,42,,180,0.05,89.0,61.0,
ALTURAS.A,20150210,2359,0.00,,51,23,,,0,0,,,42,40,,284,0.06,96.0,47.0,
ALTURAS.A,20150211,2359,0.00,,60,28,,,0,0,,,42,40,,271,0.08,92.0,37.0,
ALTURAS.A,20150212,2359,0.00,,62,28,,,0,0,,,43,41,,262,0.07,92.0,34.0,
ALTURAS.A,20150213,2359,0.00,,63,28,,,0,0,,,43,41,,234,0.06,94.0,49.0,
ALTURAS.A,20150214,2359,0.00,,62,30,,,0,0,,,44,42,,337,0.09,95.0,33.0,
ALTURAS.A,20150215,2359,0.00,,57,22,,,0,0,,,44,41,,289,0.07,92.0,24.0,
ALTURAS.A,20150216,2359,0.00,,59,21,,,0,0,,,42,40,,340,0.08,90.0,28.0,
ALTURAS.A,20150217,2359,0.00,,64,23,,,0,0,,,43,39,,352,0.09,90.0,25.0,
ALTURAS.A,20150218,2359,0.00,,65,23,,,0,0,,,43,40,,361,0.09,95.0,26.0,
ALTURAS.A,20150219,2359,0.00,,63,23,,,0,0,,,43,40,,350,0.09,95.0,24.0,
ALTURAS.A,20150220,2359,0.00,,54,20,,,0,0,,,43,40,,361,0.08,94.0,26.0,
ALTURAS.A,20150221,2359,0.00,,48,19,,,0,0,,,42,39,,386,0.10,92.0,23.0,
ALTURAS.A,20150222,2359,0.00,,42,25,,,0,0,,,41,39,,384,0.11,67.0,30.0,
ALTURAS.A,20150223,2359,0.00,,46,23,,,0,0,,,40,38,,397,0.12,51.0,12.0,
ALTURAS.A,20150224,2359,0.00,,59,12,,,0,0,,,39,37,,398,0.09,81.0,10.0,
ALTURAS.A,20150225,2359,0.00,,57,17,,,0,0,,,40,37,,371,0.09,79.0,24.0,
ALTURAS.A,20150226,2359,0.03,,49,24,,,0,0,,,41,38,,344,0.09,91.0,33.0,
ALTURAS.A,20150227,2359,0.12,,45,31,,,0,0,,,41,40,,209,0.04,97.0,71.0,
ALTURAS.A,20150228,2359,0.10,,38,29,,,0,0,,,41,39,,186,0.05,97.0,70.0,
ALTURAS.A,20150301,2359,0.00,,49,22,,,0,0,,,41,38,,411,0.08,90.0,37.0,
ALTURAS.A,20150302,2359,0.00,,47,22,,,0,0,,,41,38,,265,0.07,92.0,40.0,
ALTURAS.A,20150303,2359,0.00,,46,22,,,0,0,,,41,39,,425,0.09,81.0,32.0,
ALTURAS.A,20150304,2359,0.00,,56,13,,,0,0,,,41,38,,435,0.09,91.0,19.0,
ALTURAS.A,20150305,2359,0.00,,62,16,,,0,0,,,41,38,,430,0.11,91.0,12.0,
ALTURAS.A,20150306,2359,0.00,,67,19,,,0,0,,,42,38,,438,0.11,91.0,15.0,
ALTURAS.A,20150307,2359,0.00,,70,19,,,0,0,,,43,39,,448,0.11,90.0,9.0,
ALTURAS.A,20150308,2359,0.00,,67,18,,,0,0,,,44,39,,448,0.12,89.0,15.0,
ALTURAS.A,20150309,2359,0.00,,70,18,,,0,0,,,44,40,,463,0.12,90.0,10.0,
ALTURAS.A,20150310,2359,0.00,,66,20,,,0,0,,,43,40,,287,0.12,82.0,19.0,
ALTURAS.A,20150311,2359,0.01,,52,41,,,0,0,,,45,43,,129,0.06,91.0,41.0,
ALTURAS.A,20150312,2359,0.00,,62,26,,,0,0,,,47,42,,442,0.11,97.0,39.0,
ALTURAS.A,20150313,2359,0.00,,68,29,,,0,0,,,47,44,,393,0.16,94.0,26.0,
ALTURAS.A,20150314,2359,0.00,,67,45,,,0,0,,,48,46,,129,0.07,85.0,39.0,
ALTURAS.A,20150315,2359,0.00,,70,41,,,0,0,,,49,46,,361,0.26,76.0,18.0,
ALTURAS.A,20150316,2359,0.07,,60,40,,,0,0,,,48,46,,204,0.06,95.0,45.0,
ALTURAS.A,20150317,2359,0.00,,59,33,,,0,0,,,49,46,,375,0.11,97.0,33.0,
ALTURAS.A,20150318,2359,0.00,,60,22,,,0,0,,,48,45,,501,0.13,97.0,27.0,
ALTURAS.A,20150319,2359,0.00,,68,18,,,0,0,,,48,44,,485,0.15,95.0,15.0,
ALTURAS.A,20150320,2359,0.00,,62,23,,,0,0,,,47,44,,276,0.10,87.0,30.0,
ALTURAS.A,20150321,2359,0.00,,62,37,,,0,0,,,49,45,,469,0.14,71.0,17.0,
ALTURAS.A,20150322,2359,0.18,,56,28,,,0,0,,,49,46,,319,0.14,94.0,35.0,
ALTURAS.A,20150323,2359,0.10,,45,32,,,0,0,,,48,45,,237,0.07,92.0,54.0,
ALTURAS.A,20150324,2359,0.04,,49,33,,,0,0,,,46,45,,192,0.04,93.0,72.0,
ALTURAS.A,20150325,2359,0.00,,63,27,,,0,0,,,48,44,,489,0.13,97.0,40.0,
ALTURAS.A,20150326,2359,0.00,,73,30,,,0,0,,,53,45,,527,0.16,96.0,25.0,
ALTURAS.A,20150327,2359,0.00,,72,32,,,0,0,,,54,49,,535,0.19,92.0,27.0,
ALTURAS.A,20150328,2359,0.00,,63,30,,,0,0,,,53,49,,534,0.14,88.0,17.0,
ALTURAS.A,20150329,2359,0.00,,71,23,,,0,0,,,53,48,,550,0.15,93.0,17.0,
ALTURAS.A,20150330,2359,0.00,,74,29,,,0,0,,,53,49,,448,0.18,93.0,21.0,
ALTURAS.A,20150331,2359,0.00,,52,23,,,0,0,,,53,48,,271,0.08,87.0,46.0,
ALTURAS.A,20150401,2359,0.00,,50,16,,,0,0,,,49,44,,497,0.12,94.0,30.0,
